,service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
87323,2019/12/25 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,12906.0,15671.0,,87324
87368,2019/12/25 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6365.0,7931.0,,87369
87374,2019/12/25 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4525.0,5406.0,,87375
87477,2019/12/24 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,123979.0,132239.0,,87478
87478,2019/12/24 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,113094.0,118313.0,,87479
87479,2019/12/24 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,92806.0,98900.0,,87480
87480,2019/12/24 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,75642.0,79860.0,,87481
87481,2019/12/24 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,22886.0,27032.0,,87482
87482,2019/12/24 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,17076.0,19810.0,,87483
87483,2019/12/24 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15392.0,19527.0,,87484
87500,2019/12/25 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,119881.0,126921.0,,87501
87503,2019/12/25 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,107887.0,117309.0,,87504
87515,2019/12/25 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,39480.0,40582.0,,87516
87516,2019/12/25 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,27775.0,28656.0,,87517
87526,2019/12/25 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,88109.0,94082.0,,87527
87541,2019/12/24 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,41927.0,43188.0,,87542
87542,2019/12/24 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,28602.0,28763.0,,87543
87618,2019/12/23 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,37181.0,39342.0,,87619
87619,2019/12/23 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,28393.0,28740.0,,87620
87907,2019/12/23 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,108243.0,119684.0,,87908
87908,2019/12/23 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,109269.0,118564.0,,87909
87909,2019/12/23 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,77052.0,86434.0,,87910
87910,2019/12/23 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,74164.0,80474.0,,87911
87911,2019/12/23 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,19526.0,22839.0,,87912
87913,2019/12/23 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,14926.0,17486.0,,87914
87915,2019/12/23 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,12045.0,15715.0,,87916
87919,2019/12/23 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,9725.0,12884.0,,87920
87921,2019/12/23 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,12503.0,15040.0,,87922
87924,2019/12/23 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,9806.0,12259.0,,87925
